Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Boot style (product.metafields.shopify.boot-style),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Footwear material (product.metafields.shopify.footwear-material),Heel height type (product.metafields.shopify.heel-height-type),Shoe features (product.metafields.shopify.shoe-features),Shoe size (product.metafields.shopify.shoe-size),Size (product.metafields.shopify.size),Target gender (product.metafields.shopify.target-gender),Toe style (product.metafields.shopify.toe-style),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
rocky-mountain-hiking-guide,AURA Sun Ray Sock,"<p>The Last Time you'll Be able to get these Socks!!</p>
<p><meta charset=""utf-8""><span data-mce-fragment=""1"" data-dobid=""hdw"">AU RA  </span><span data-mce-fragment=""1"">/</span><span data-mce-fragment=""1"">ˈôrə</span><span data-mce-fragment=""1"">/. </span><i data-mce-fragment=""1""><span data-mce-fragment=""1"" class=""YrbPuc"">noun <meta charset=""utf-8""></span></i></p>
<div data-mce-fragment=""1"" class=""vmod"">
<div data-mce-fragment=""1"" class=""vmod"" data-topic=""occult,medical"" jsname=""r5Nvmf"">
<div data-mce-fragment=""1"">
<ol data-mce-fragment=""1"" class=""eQJLDd"">
<li data-mce-fragment=""1"" jsname=""gskXhf"">
<div data-mce-fragment=""1"" class=""vmod"">
<div data-mce-fragment=""1"" class=""thODed"">
<div data-mce-fragment=""1"" class=""wHYlTd sY7ric"" data-topic="""" jsname=""cJAsRb"">
<div data-mce-fragment=""1"">When your vibes are right, chakras are aligned and energy is on unbothered </div>
<div data-mce-fragment=""1""><br></div>
<div data-mce-fragment=""1"">- 100% Classic 1 x1 Ribbed THICK Sock with AURA Logo on Leg </div>
<div data-mce-fragment=""1"">- Auracle Sun Rays on the Heel</div>
<div data-mce-fragment=""1"">- Super Limited Edition Colorway </div>
<div data-mce-fragment=""1""><br></div>
</div>
</div>
</div>
</li>
</ol>
</div>
</div>
</div>",AURACLES,Apparel & Accessories,Socks,"BF24, Sample Product",true,Title,Default Title,,,,,,,,AURASOCK1WHT,22.6796185,shopify,160,deny,manual,25.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/SockWhiteAURA.jpg?v=1745279587,1,"",false,,,Apparel & Accessories > Clothing > Socks & Hosiery,,,,,,,,,,,,,,,,,,,,,,,,oz,,,true,,,true,,,active
deep-sea-black-nami-slide,DEEP SEA BLACK NAMI,"<p>THE WAVIEST SLIDE IN HUMAN HISTORY IS HERE!!</p>
<p>Introducing the Nami 2.0!! The Nami 2.0 features our newest creation,<em><strong> NamiWAVE Foam</strong></em>. </p>
<p><strong>NamiWAVE Foam (EVA) </strong> is a premium combination of unique materials that provides Pillow like comfort and support for you foot. Think of it like memory foam for the foot.</p>
<p>Nami Slide is also biodegradable ( More info Coming soon) </p>
<p><strong>By Chris Brown &amp; John Dean</strong></p>
<p><span><strong>PLEASE READ BELOW ( VERY IMPORTANT</strong></span>)</p>
<p>- Please Read: <a href=""https://theauracles.xyz/pages/faq"">FAQ</a> </p>
<p><span>-  </span></p>
<ul>
<li>THESE SHIP ASAP! They are instock. Tracking will be sent within 4 business days</li>
</ul>
<p><span>-PLEASE TAKE YOUR TIME AND PUT IN THE RIGHT ADDRESS AND SIZE! </span></p>
<p>- LIMITED EDITION &amp; Expected to Sell Out </p>
<p>- SIZES SHOWN ARE MENS SIZES, Please Use Size Chart to convert to Womens</p>
<p>- Limit of 5 Pairs per Transaction ( We raised the Limit from 3) </p>
<p>- We will do our best to stop bots from purchasing </p>
<p>-ALL SALES ARE FINAL</p>",AURACLES,Apparel & Accessories,Footwear,BF24,true,Size,Men Size 4 - Womens 5.5/6,,,,,,,,NamiBLK4,1360.77711,shopify,3,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/ScreenShot2024-02-08at6.40.35PM-Recovered.jpg?v=1745279585,1,"",false,,,Apparel & Accessories > Clothing,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
deep-sea-black-nami-slide,,,,,,,,,Men Size 5 - Womens Size 6.5/7,,,,,,,,NamiBLK5,1360.77711,shopify,108,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/RENOWED-SLIDE-BLK-1.png?v=1745279585,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
deep-sea-black-nami-slide,,,,,,,,,Men Size 6 - Womens Size 7.5/8,,,,,,,,NamiBLK6,1360.77711,shopify,0,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/NAMISLIDESUNBOXED.jpg?v=1745279585,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
deep-sea-black-nami-slide,,,,,,,,,Men Size 7 - Womens Size 8.5/9,,,,,,,,NamiBLK7,1360.77711,shopify,-5,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/AURACLES2slides.png?v=1745279585,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
deep-sea-black-nami-slide,,,,,,,,,Men Size 8 - Womens Size 9.5/10,,,,,,,,NamiBLK8,1360.77711,shopify,0,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/AURACLESBOXSLIDES01.png?v=1745279585,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
deep-sea-black-nami-slide,,,,,,,,,Men Size 9 - Womens Size 10.5/11,,,,,,,,NamiBLK9,1360.77711,shopify,-1,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/AURACLESSLIDES06-min.png?v=1745279585,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
deep-sea-black-nami-slide,,,,,,,,,Men Size 10 - Womens Size 11.5/12,,,,,,,,NamiBLK10,1360.77711,shopify,0,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/jhn--2.jpg?v=1745279585,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
deep-sea-black-nami-slide,,,,,,,,,Men Size 11 - Womens Size 12.5/13,,,,,,,,NamiBLK11,1360.77711,shopify,0,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/RENOWED-SLIDEBOX-SIDEFONT2.png?v=1745279586,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
deep-sea-black-nami-slide,,,,,,,,,Men Size 12 - Womens Size 13.5/14,,,,,,,,NamiBLK12,1360.77711,shopify,0,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/0c94162f-ccac-4d9d-8a25-72ab0bacdeae.jpg?v=1745279586,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
